동명,설치주소,위치,위도,경도,흡연구역
,강남대로8길 77,동산마을 구립주차장 내,37.47008,127.044294,Y
,강남대로6길 60-23,건물 후면 양재대로변,37.467566,127.044892,Y
,강남대로4길 5,카센터 앞 보도,37.466792,127.042416,Y
,강남대로6길 16,건물 앞 녹지사이 보도,37.4671706,127.042009,Y
,강남대로8길 3,건물 앞 보도 끝지점,37.4678195,127.041309,Y
,강남대로10길 21,건물 앞 녹지사이 보도,37.4685857,127.040484,Y
,마방로2길 26,건물 앞 녹지사이 보도,37.4724965,127.039129,Y
,양재동 221-3,건물 앞 녹지사이 보도,37.4605413,127.035269,Y
,논현로 27,소호정 주차장,37.4732679,127.048693,Y
,논현로 71,평가옥 앞,37.4762604,127.045586,Y
,동산로2길 27,한성생고기 앞,37.4687381,127.042564,Y
,양재동 316,띠녹지 안,37.4707215,127.039241,Y
,강남대로 27,AT센터 앞,37.4681626,127.039308,Y
,매헌로16길 32,희경재단 앞 녹지대,37.4664067,127.035814,Y
,양재대로12길 73-48,서초종합체육관 앞,37.4588273,127.041925,Y
